"","B","CD4","CD8","Monocytes","NK","Other"
"PD-PDAA503EF5_0",0.327258182771457,0.208333382561544,0.21392792689554,0.250015703576433,0.000464804195026373,0
"PD-PDAA503EF5_6",0.306888905857082,0.165264508978709,0.0974676279632684,0.427481225158375,0.00289773204256652,0
"PD-PDAA503EF5_12",0.228840214987096,0.223356627038683,0.0810540805639722,0.466749077410249,0,0
"PD-PDAA503EF5_18",0.296802407055475,0.210411949505316,0.197226711450397,0.295558931988811,0,0
"PD-PDAA503EF5_24",0.410016761542936,0.162954189924041,0.180656400889434,0.246372647643588,0,0
"PD-PDAB411CTU_0",0.380506945034066,0.227390903802546,0,0.392102151163388,0,0
"PD-PDAB411CTU_6",0.379452880277664,0.181999468672376,0.0555455621662278,0.383002088883732,0,0
"PD-PDAB411CTU_12",0.391085102329615,0.205598404463279,0.0490585264158048,0.354257966791301,0,0
"PD-PDAB411CTU_18",0.412623976262563,0.146988579178829,0.0747597939937586,0.36562765056485,0,0
"PD-PDAB411CTU_24",0.341449122075373,0.195388860955667,0.228258233453604,0.234903783515356,0,0
"PD-PDAB549YWB_6",0.334066590279646,0.153369856324019,0.237698788861545,0.266234117709545,0.00863064682524586,0
"PD-PDAB549YWB_12",0.16247199965205,0.231569024228791,0.265041962602027,0.337798088054836,0.00311892546229602,0
"PD-PDAB549YWB_18",0.118908996917489,0.169454163701553,0.154093331673056,0.478674934126918,0.00352381314027271,0.0753447604407103
"PD-PDAB549YWB_24",0.503795748237618,0.304037466565523,0,0.191493312809836,0.000673472387023783,0
"PD-PDAC066ZP4_0",0.397595401673703,0.177064733365605,0,0.425339864960692,0,0
"PD-PDAC066ZP4_6",0.422519378989329,0.204727659838393,0,0.35338855583958,0,0.0193644053326974
"PD-PDAC066ZP4_12",0.297054900478929,0.274282555661685,0.0779037816859336,0.350758762173453,0,0
"PD-PDAC066ZP4_18",0.281043494725318,0.488809177246119,0.00658552098242226,0,0,0.22356180704614
"PD-PDAC066ZP4_24",0.535238018201039,0.197662384448626,0,0.222964393432813,0,0.0441352039175222
"PD-PDAE854KGZ_0",0.34553421012304,0.130110292826433,0.234948537625299,0.289406959425228,0,0
"PD-PDAE854KGZ_6",0.32418819432616,0.137317408571657,0.204582563234852,0.33391183386733,0,0
"PD-PDAE854KGZ_12",0.382223858319648,0.144714434848277,0.261674432930902,0.211387273901174,0,0
"PD-PDAE854KGZ_18",0.422827561053045,0.155693598216126,0.109074951330815,0.312403889400014,0,0
"PD-PDAE940EZ5_0",0.350948146060951,0.263062382302491,0.172526115308348,0.202238980390011,0,0.0112243759381998
"PD-PDAE940EZ5_6",0.381210776606772,0.254268966430482,0.0199938463390786,0.32707081559007,0,0.0174555950335972
"PD-PDAE940EZ5_12",0.270738461167524,0.228636684656927,0.175707534506905,0.324917319668645,0,0
